id,title,description,availability,condition,price,link,image_link,brand,product_type,quantity_to_sell_on_facebook
1160923496,BOLSAS ECOMMERCE NEGRAS 20X30CM - 100U,"Bolsa e-commerce negra de 20 × 30 cm, ideal para envíos de productos por comercio electrónico y mensajería privada.Su diseño totalmente opaco evita la visibi...",in stock,new,7901.30 ARS,https://www.g4descartables.com.ar/productos/100-bolsas-ecommerce-negras-20x30cm/,https://scalelabs-ar.github.io/g4-catalogo-img/img/13375d82b8e57239.jpg,G4 Descartables,,168
1215544866,BANDEJA 103 CON TAPA BIODEGRADABLE - 25U,"Bandeja fabricada en caña de azúcar, una alternativa ecológica y sustentable para el envasado de alimentos.Es un producto amigable con el ambiente, compostab...",in stock,new,14763.82 ARS,https://www.g4descartables.com.ar/productos/bandeja-103-con-tapa-biodegradable-25u/,https://scalelabs-ar.github.io/g4-catalogo-img/img/0a754ba7d2b4e5b0.jpg,G4 Descartables,,12
750712364,BANDEJA PLASTICO 103 PP - 100U,"Descubrí nuestra bandeja de plástico 103, diseñada especialmente para su uso en microondas. Ideal para hogares y negocios de comida rápida que requieren practicidad y eficiencia en cada uso.",in stock,new,17865.65 ARS,https://www.g4descartables.com.ar/productos/bandeja-103-pp-x-100-unidades/,https://scalelabs-ar.github.io/g4-catalogo-img/img/7ba354b6d8052105.jpg,G4 Descartables,,2
1215545670,BANDEJA 105 CON TAPA BIODEGRADABLE - 25U,"Bandeja de mayor capacidad fabricada en caña de azúcar, ideal para comidas completas y porciones grandes.Combina funcionalidad con compromiso ambiental, sien...",in stock,new,27660.30 ARS,https://www.g4descartables.com.ar/productos/bandeja-105-con-tapa-biodegradable-25u/,https://scalelabs-ar.github.io/g4-catalogo-img/img/a7991313c105aa55.jpg,G4 Descartables,,12
750721340,BANDEJA PLASTICO OVAL 105 PP - 100U,"Descubrí nuestra bandeja de plástico 105, diseñada especialmente para su uso en microondas. Ideal para hogares y negocios de comida rápida que requieren practicidad y eficiencia en cada uso.",in stock,new,22023.21 ARS,https://www.g4descartables.com.ar/productos/bandeja-105-pp-x-100-unidades/,https://scalelabs-ar.github.io/g4-catalogo-img/img/f00db02959d8b9e5.jpg,G4 Descartables,,5
970046048,BANDEJA PLASTICO 107 PP - 100U,"Descubrí nuestra bandeja de plástico 107, diseñada especialmente para su uso en microondas. Ideal para hogares y negocios de comida rápida que requieren practicidad y eficiencia en cada uso.",in stock,new,47895.43 ARS,https://www.g4descartables.com.ar/productos/bandeja-107-pp-x-100-unidades/,https://scalelabs-ar.github.io/g4-catalogo-img/img/dcc8969abcad5d8d.jpg,G4 Descartables,,5
800154290,BANDEJA 180 PP 2 DIVISIONES CON TAPA - 25U,"escubrí nuestra bandeja de plástico 180 con 2 divisiones, diseñada especialmente para su uso en microondas. Ideal para hogares y negocios de comida rápida que requieren practicidad y eficiencia en cada uso.",out of stock,new,22523.55 ARS,https://www.g4descartables.com.ar/productos/bandeja-180-pp-2-divisiones-con-tapa-x-25-unidades/,https://scalelabs-ar.github.io/g4-catalogo-img/img/19787e500d42666b.jpg,G4 Descartables,,0
767022924,BANDEJA DE ALUMINIO F100 CON TAPA - 100U,"Descubrí nuestra bandeja de aluminio F100. Apta para horno e ideal para viandas y delivery. Un producto práctico, perfecto para eventos y reuniones.",in stock,new,46545.07 ARS,https://www.g4descartables.com.ar/productos/bandeja-de-aluminio-f100-con-tapa-x-100-unidades/,https://scalelabs-ar.github.io/g4-catalogo-img/img/eff266e6435a7bca.jpg,G4 Descartables,,1
810085263,BANDEJA DE ALUMINIO F2100 CON TAPA - 100U,"Descubrí nuestra bandeja de aluminio F2100. Apta para horno e ideal para viandas y delivery. Un producto práctico, perfecto para eventos y reuniones.",out of stock,new,46545.07 ARS,https://www.g4descartables.com.ar/productos/bandeja-de-aluminio-f2100-con-tapa-x-100-unidades/,https://scalelabs-ar.github.io/g4-catalogo-img/img/2af6220ffbd8f908.jpg,G4 Descartables,,0
810088732,BANDEJA DE ALUMINIO F250 CON TAPA - 100U,"Descubrí nuestra bandeja de aluminio F250. Apta para horno e ideal para viandas y delivery. Un producto práctico, perfecto para eventos y reuniones.",in stock,new,30420.61 ARS,https://www.g4descartables.com.ar/productos/bandeja-de-aluminio-f250-con-tapa-x-100-unidades/,https://scalelabs-ar.github.io/g4-catalogo-img/img/b80160223cb8a2a4.jpg,G4 Descartables,,4
